Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-S1","AgentkeelIngest/Quarantine/Resource","Suppressed","SPEC/03 §6: M03's seed S5 is read from the promoter's record (one item per object version) and from S3's own versions of this bucket and of production, not from access logs. S3 access logs and data events on the corpus buckets are M05's, evidence integrity (security-reviewer NOTE 6 at M03 PR 1, extended to quarantine at M03 PR 2).","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","AgentkeelIngest/Quarantine/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","AgentkeelIngest/Quarantine/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","AgentkeelIngest/Quarantine/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","AgentkeelIngest/Quarantine/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S1","AgentkeelIngest/Production/Resource","Suppressed","SPEC/03 §6: M03's seed S5 is read from the promoter's record and from this bucket's versions. Every object here is locked (COMPLIANCE, 1 day), only the promoter may put one, and nobody may delete one. S3 access logs and data events are M05's (security-reviewer NOTE 6 at M03 PR 1).","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","AgentkeelIngest/Production/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","AgentkeelIngest/Production/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","AgentkeelIngest/Production/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","AgentkeelIngest/Production/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-DDB3","AgentkeelIngest/Record/Resource","Compliant","N/A","Warning","The DynamoDB table does not have Point-in-time Recovery enabled."
"AwsSolutions-IAM4","AgentkeelIngest/PromoterRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AgentkeelIngest/PromoterRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelIngest/PromoterRole/DefaultPolicy/Resource","Suppressed","SPEC/03 §6, the promoter, which keeps M03's seed S5 (the unsigned amendment) out of production. Four wildcards, each one bucket's, one guardrail's or one log group's: GetObject on quarantine/* because any key may be uploaded; PutObject on production/* because the key is the sha256 of the bytes; ApplyGuardrail on refagent's guardrail and <arn>:*, its numbered versions; its own log group's streams (:*). The role carries the deploy boundary.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelIngest/PromoterRole/DefaultPolicy/Resource","Suppressed","SPEC/03 §6, the promoter, which keeps M03's seed S5 (the unsigned amendment) out of production. Four wildcards, each one bucket's, one guardrail's or one log group's: GetObject on quarantine/* because any key may be uploaded; PutObject on production/* because the key is the sha256 of the bytes; ApplyGuardrail on refagent's guardrail and <arn>:*, its numbered versions; its own log group's streams (:*). The role carries the deploy boundary.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelIngest/PromoterRole/DefaultPolicy/Resource","Suppressed","SPEC/03 §6, the promoter, which keeps M03's seed S5 (the unsigned amendment) out of production. Four wildcards, each one bucket's, one guardrail's or one log group's: GetObject on quarantine/* because any key may be uploaded; PutObject on production/* because the key is the sha256 of the bytes; ApplyGuardrail on refagent's guardrail and <arn>:*, its numbered versions; its own log group's streams (:*). The role carries the deploy boundary.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","AgentkeelIngest/Promoter/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
