Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-EC23","AgentkeelRefagent/Refagent/Sg/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","AgentkeelRefagent/Refagent/Sg/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-DDB3","AgentkeelRefagent/Refagent/RightsTable/Resource","Compliant","N/A","Warning","The DynamoDB table does not have Point-in-time Recovery enabled."
"AwsSolutions-IAM4","AgentkeelRefagent/Refagent/Role/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AgentkeelRefagent/Refagent/Role/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelRefagent/Refagent/Role/DefaultPolicy/Resource","Suppressed","SPEC/01 §6, 'its own log group' and 'the agent's key'. The log streams are log-group:/aws/bedrock-agentcore/runtimes/*:log-stream:*, because AgentCore names the group and the stream at runtime. kms:Decrypt and kms:GenerateDataKey are on key/* conditioned on kms:ResourceAliases being this agent's alias, because the key's id is the bootstrap stack's and the construct does not read it (PR 3 security-reviewer F6: the earlier reason, 'reached through the grant', named a grant that does not exist). The boundary (S5) caps all of it, and the key policy denies this role its own key policy (S6). The profile and the rights table are named by ARN. B1 (M01 PR 3): ecr:GetAuthorizationToken and logs:DescribeLogGroups take no resource-level permission; the image pull is on this agent's repository and the log group under /aws/bedrock-agentcore/runtimes/*, whose suffix AgentCore assigns. M03 PR 2: ApplyGuardrail is on the guardrail the manifest pins and <arn>:*, its numbered versions, and every model invoke is conditioned on bedrock:GuardrailIdentifier at the pinned version.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelRefagent/Refagent/Role/DefaultPolicy/Resource","Suppressed","SPEC/01 §6, 'its own log group' and 'the agent's key'. The log streams are log-group:/aws/bedrock-agentcore/runtimes/*:log-stream:*, because AgentCore names the group and the stream at runtime. kms:Decrypt and kms:GenerateDataKey are on key/* conditioned on kms:ResourceAliases being this agent's alias, because the key's id is the bootstrap stack's and the construct does not read it (PR 3 security-reviewer F6: the earlier reason, 'reached through the grant', named a grant that does not exist). The boundary (S5) caps all of it, and the key policy denies this role its own key policy (S6). The profile and the rights table are named by ARN. B1 (M01 PR 3): ecr:GetAuthorizationToken and logs:DescribeLogGroups take no resource-level permission; the image pull is on this agent's repository and the log group under /aws/bedrock-agentcore/runtimes/*, whose suffix AgentCore assigns. M03 PR 2: ApplyGuardrail is on the guardrail the manifest pins and <arn>:*, its numbered versions, and every model invoke is conditioned on bedrock:GuardrailIdentifier at the pinned version.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelRefagent/Refagent/Role/DefaultPolicy/Resource","Suppressed","SPEC/01 §6, 'its own log group' and 'the agent's key'. The log streams are log-group:/aws/bedrock-agentcore/runtimes/*:log-stream:*, because AgentCore names the group and the stream at runtime. kms:Decrypt and kms:GenerateDataKey are on key/* conditioned on kms:ResourceAliases being this agent's alias, because the key's id is the bootstrap stack's and the construct does not read it (PR 3 security-reviewer F6: the earlier reason, 'reached through the grant', named a grant that does not exist). The boundary (S5) caps all of it, and the key policy denies this role its own key policy (S6). The profile and the rights table are named by ARN. B1 (M01 PR 3): ecr:GetAuthorizationToken and logs:DescribeLogGroups take no resource-level permission; the image pull is on this agent's repository and the log group under /aws/bedrock-agentcore/runtimes/*, whose suffix AgentCore assigns. M03 PR 2: ApplyGuardrail is on the guardrail the manifest pins and <arn>:*, its numbered versions, and every model invoke is conditioned on bedrock:GuardrailIdentifier at the pinned version.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelRefagent/Refagent/Role/DefaultPolicy/Resource","Suppressed","SPEC/01 §6, 'its own log group' and 'the agent's key'. The log streams are log-group:/aws/bedrock-agentcore/runtimes/*:log-stream:*, because AgentCore names the group and the stream at runtime. kms:Decrypt and kms:GenerateDataKey are on key/* conditioned on kms:ResourceAliases being this agent's alias, because the key's id is the bootstrap stack's and the construct does not read it (PR 3 security-reviewer F6: the earlier reason, 'reached through the grant', named a grant that does not exist). The boundary (S5) caps all of it, and the key policy denies this role its own key policy (S6). The profile and the rights table are named by ARN. B1 (M01 PR 3): ecr:GetAuthorizationToken and logs:DescribeLogGroups take no resource-level permission; the image pull is on this agent's repository and the log group under /aws/bedrock-agentcore/runtimes/*, whose suffix AgentCore assigns. M03 PR 2: ApplyGuardrail is on the guardrail the manifest pins and <arn>:*, its numbered versions, and every model invoke is conditioned on bedrock:GuardrailIdentifier at the pinned version.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelRefagent/Refagent/Role/DefaultPolicy/Resource","Suppressed","SPEC/01 §6, 'its own log group' and 'the agent's key'. The log streams are log-group:/aws/bedrock-agentcore/runtimes/*:log-stream:*, because AgentCore names the group and the stream at runtime. kms:Decrypt and kms:GenerateDataKey are on key/* conditioned on kms:ResourceAliases being this agent's alias, because the key's id is the bootstrap stack's and the construct does not read it (PR 3 security-reviewer F6: the earlier reason, 'reached through the grant', named a grant that does not exist). The boundary (S5) caps all of it, and the key policy denies this role its own key policy (S6). The profile and the rights table are named by ARN. B1 (M01 PR 3): ecr:GetAuthorizationToken and logs:DescribeLogGroups take no resource-level permission; the image pull is on this agent's repository and the log group under /aws/bedrock-agentcore/runtimes/*, whose suffix AgentCore assigns. M03 PR 2: ApplyGuardrail is on the guardrail the manifest pins and <arn>:*, its numbered versions, and every model invoke is conditioned on bedrock:GuardrailIdentifier at the pinned version.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
