Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM5","AgentkeelBootstrap/Boundary/Resource","Suppressed","SPEC/01 §6: 'the permission boundary, on every role either stack synthesises, applied stack-wide'. This is that boundary, and it is what seed S5 reads: a role handed to GovernedAgent without it is refused at synth. A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/Boundary/Resource","Suppressed","SPEC/01 §6: 'the permission boundary, on every role either stack synthesises, applied stack-wide'. This is that boundary, and it is what seed S5 reads: a role handed to GovernedAgent without it is refused at synth. A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/Boundary/Resource","Suppressed","SPEC/01 §6: 'the permission boundary, on every role either stack synthesises, applied stack-wide'. This is that boundary, and it is what seed S5 reads: a role handed to GovernedAgent without it is refused at synth. A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/Boundary/Resource","Suppressed","SPEC/01 §6: 'the permission boundary, on every role either stack synthesises, applied stack-wide'. This is that boundary, and it is what seed S5 reads: a role handed to GovernedAgent without it is refused at synth. A ceiling, not a grant: a Deny must cover every resource, including ones that do not exist yet, or a later attach slips past it.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeployBoundary/Resource","Suppressed","SPEC/01 §6: 'two permission boundaries, one per plane'. This is the deploy plane's, and it is a deny-list: Allow * with the escalation, key-policy, evidence and network primitives denied by name. It is what makes seed S4 readable at all — the developer role keeps sts:AssumeRole, so the deploy role's trust policy is what refuses the attempt — and R4 is held by its four kms denies. An allow-list here capped the execution role to creating nothing (ruling s).","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/DeployBoundary/Resource","Suppressed","SPEC/01 §6: 'two permission boundaries, one per plane'. This is the deploy plane's, and it is a deny-list: Allow * with the escalation, key-policy, evidence and network primitives denied by name. It is what makes seed S4 readable at all — the developer role keeps sts:AssumeRole, so the deploy role's trust policy is what refuses the attempt — and R4 is held by its four kms denies. An allow-list here capped the execution role to creating nothing (ruling s).","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-VPC7","AgentkeelBootstrap/Vpc/Resource","Compliant","N/A","Error","The VPC does not have an associated Flow Log."
"AwsSolutions-IAM4","AgentkeelBootstrap/Vpc/all/IAMRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AgentkeelBootstrap/Vpc/all/IAMRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AgentkeelBootstrap/Vpc/all/IAMRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
